                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0172,                 3.4196,                 1.2757,                0.02069,                0.41349,                0.22986,                0.18961,                0.73223,                 3.6492,                 1.0009,                0.00015,                0.00015,                0.00015
                      2,                 0.8999,                 2.3802,                 1.1656,                0.02752,                0.45527,                0.23201,                0.17871,                0.75153,                 3.3229,                0.97931,             0.00030631,             0.00030631,             0.00030631
                      3,                0.89455,                 1.5775,                 1.1247,                0.95279,                0.23353,                0.67658,                0.52245,                0.82533,                 2.7438,                 1.0339,             0.00045619,             0.00045619,             0.00045619
                      4,                0.88778,                 1.3757,                 1.1252,                0.93861,                  0.298,                0.77134,                0.58942,                0.92427,                 2.4515,                  1.052,             0.00059963,             0.00059963,             0.00059963
                      5,                 0.8513,                 1.2859,                 1.0825,                0.78465,                0.31837,                0.81588,                0.62315,                0.88845,                 2.3296,                 1.0549,             0.00073664,             0.00073664,             0.00073664
                      6,                0.88467,                  1.156,                 1.0768,                0.83928,                0.45204,                 0.8317,                0.58867,                0.97493,                 2.2526,                 1.1434,             0.00086721,             0.00086721,             0.00086721
                      7,                0.91165,                 1.1376,                  1.073,                0.87922,                0.60954,                0.89835,                0.67173,                0.93359,                 1.9182,                 1.1271,             0.00099135,             0.00099135,             0.00099135
                      8,                0.87325,                 1.1119,                 1.0832,                0.83622,                0.56036,                0.87695,                0.63041,                0.96419,                 2.1539,                 1.1186,              0.0010768,              0.0010768,              0.0010768
                      9,                 0.8744,                 1.0627,                 1.1053,                0.77948,                0.74651,                0.90809,                0.65255,                0.90315,                 1.6614,                 1.0949,               0.001052,               0.001052,               0.001052
                     10,                0.82401,                0.97227,                 1.0493,                0.79569,                0.83748,                0.91331,                0.71959,                0.78776,                 1.2191,                 1.0057,              0.0010273,              0.0010273,              0.0010273
                     11,                0.82525,                 1.0197,                 1.0591,                0.80015,                0.88662,                 0.9056,                0.67331,                0.89013,                 1.3309,                 1.0667,              0.0010025,              0.0010025,              0.0010025
                     12,                0.85438,                0.99903,                 1.0618,                 0.8335,                0.84743,                0.91808,                0.72915,                0.78702,                 1.3238,                 1.0154,             0.00097775,             0.00097775,             0.00097775
                     13,                  0.841,                0.95904,                 1.0632,                0.78644,                0.85448,                0.92917,                0.72528,                0.81578,                 1.2469,                 1.0137,               0.000953,               0.000953,               0.000953
                     14,                 0.8002,                0.88076,                 1.0118,                 0.8459,                0.85198,                0.92893,                 0.6801,                0.95177,                 1.3656,                 1.0856,             0.00092825,             0.00092825,             0.00092825
                     15,                0.75761,                0.85721,                 1.0208,                0.87968,                0.87013,                0.90211,                0.70352,                 0.8385,                 1.2359,                 1.0256,              0.0009035,              0.0009035,              0.0009035
                     16,                0.75169,                0.84506,                 1.0207,                  0.848,                0.84542,                0.89541,                0.68247,                0.85197,                 1.2224,                 1.0396,             0.00087875,             0.00087875,             0.00087875
                     17,                 0.7175,                0.82359,                 1.0095,                0.91963,                 0.8092,                0.91367,                0.70294,                0.84636,                  1.371,                 1.0433,               0.000854,               0.000854,               0.000854
                     18,                0.76244,                0.86661,                 1.0092,                0.90218,                0.87004,                0.91766,                0.70927,                0.84695,                 1.3272,                 1.0385,             0.00082925,             0.00082925,             0.00082925
                     19,                0.71772,                0.82162,                 1.0129,                0.94668,                0.87347,                0.92447,                 0.7416,                0.81188,                 1.0985,                 1.0064,              0.0008045,              0.0008045,              0.0008045
                     20,                0.70984,                0.78963,                0.99018,                0.91378,                0.87932,                0.94269,                0.75745,                0.83176,                0.98577,                 1.0307,             0.00077975,             0.00077975,             0.00077975
                     21,                 0.6912,                0.76657,                0.99296,                0.92322,                0.91356,                0.94432,                0.75801,                0.82597,                 1.0216,                 1.0424,               0.000755,               0.000755,               0.000755
                     22,                0.70407,                0.79287,                0.99482,                0.90814,                0.88402,                0.92031,                0.74392,                  0.775,                 1.0576,                0.98745,             0.00073025,             0.00073025,             0.00073025
                     23,                0.68146,                0.74776,                0.97596,                0.90831,                0.91102,                0.92296,                0.74491,                0.76007,                 1.0593,                0.99637,              0.0007055,              0.0007055,              0.0007055
                     24,                0.66161,                0.73169,                0.97032,                0.90404,                0.91797,                0.92884,                0.75405,                0.76954,                 1.0674,                 1.0061,             0.00068075,             0.00068075,             0.00068075
                     25,                0.66037,                0.73256,                0.95767,                0.92848,                0.92173,                0.92173,                0.75487,                0.75397,                 1.0744,                0.98841,               0.000656,               0.000656,               0.000656
                     26,                0.64573,                0.75494,                0.99402,                 0.9404,                0.90463,                0.92733,                0.75378,                0.77893,                 1.0897,                 1.0006,             0.00063125,             0.00063125,             0.00063125
                     27,                0.66179,                0.71435,                0.97731,                0.93761,                0.91944,                  0.927,                0.75128,                0.76459,                 1.0913,                 1.0082,              0.0006065,              0.0006065,              0.0006065
                     28,                0.67253,                 0.7044,                0.97883,                0.89099,                0.89801,                0.92589,                0.74744,                0.77624,                 1.0886,                 1.0091,             0.00058175,             0.00058175,             0.00058175
                     29,                0.65467,                0.69196,                0.97347,                0.86552,                0.92313,                0.92395,                0.73572,                 0.7921,                 1.0913,                 1.0075,               0.000557,               0.000557,               0.000557
                     30,                0.64778,                0.70315,                0.98478,                0.91769,                0.88059,                0.91472,                 0.7333,                0.79825,                 1.0846,                 1.0355,             0.00053225,             0.00053225,             0.00053225
                     31,                0.63816,                0.68062,                0.96975,                0.89346,                0.91771,                0.91748,                0.73953,                0.78804,                 1.0769,                 1.0371,              0.0005075,              0.0005075,              0.0005075
                     32,                0.61466,                0.64451,                0.94165,                0.92658,                0.89754,                0.91733,                0.73502,                0.77557,                 1.0419,                  1.005,             0.00048275,             0.00048275,             0.00048275
                     33,                0.63809,                0.67167,                0.95552,                0.92725,                0.92065,                0.92205,                0.72442,                0.75923,                0.96146,                0.97751,               0.000458,               0.000458,               0.000458
                     34,                0.62997,                0.64266,                0.95845,                 0.9298,                0.91706,                0.93083,                 0.7239,                 0.7756,                0.94122,                0.98862,             0.00043325,             0.00043325,             0.00043325
                     35,                0.62127,                0.64881,                0.97774,                0.92259,                0.92313,                 0.9325,                0.74395,                 0.7363,                0.85908,                0.97807,              0.0004085,              0.0004085,              0.0004085
                     36,                0.58289,                0.62312,                0.95731,                0.91272,                0.92313,                0.94591,                0.76402,                0.71762,                0.83329,                0.98208,             0.00038375,             0.00038375,             0.00038375
                     37,                0.61151,                0.60834,                0.95474,                0.93033,                0.90011,                0.94919,                0.76759,                0.71674,                0.82404,                 0.9729,               0.000359,               0.000359,               0.000359
                     38,                0.58422,                0.61442,                0.96919,                0.89746,                0.93546,                0.94889,                0.76879,                0.70015,                0.81196,                0.95077,             0.00033425,             0.00033425,             0.00033425
                     39,                0.58838,                0.60561,                 0.9457,                0.92503,                0.91692,                0.94088,                0.76798,                0.71525,                0.82911,                0.94647,              0.0003095,              0.0003095,              0.0003095
                     40,                0.57219,                0.59758,                0.95518,                0.92608,                0.91199,                0.93934,                0.76905,                 0.7196,                 0.8727,                0.94544,             0.00028475,             0.00028475,             0.00028475
                     41,                0.55432,                0.79743,                 0.8872,                  0.926,                  0.913,                0.92363,                0.74728,                0.69833,                0.90546,                0.93717,                0.00026,                0.00026,                0.00026
                     42,                0.51209,                 0.7138,                0.88745,                0.92844,                0.91694,                0.92055,                0.74974,                0.69164,                0.94913,                0.93392,             0.00023525,             0.00023525,             0.00023525
                     43,                 0.5294,                0.69827,                0.88714,                0.90697,                0.91963,                0.90772,                0.74167,                0.68363,                 1.0278,                 0.9365,              0.0002105,              0.0002105,              0.0002105
                     44,                0.50205,                0.68864,                0.87937,                0.90343,                0.92313,                0.91075,                0.74914,                0.68907,                0.99188,                0.94144,             0.00018575,             0.00018575,             0.00018575
                     45,                0.51421,                0.66728,                0.88937,                0.90748,                0.92286,                0.91875,                0.75408,                0.68791,                0.95881,                0.94144,               0.000161,               0.000161,               0.000161
                     46,                0.50443,                0.66208,                 0.8773,                0.92995,                 0.8991,                 0.9291,                0.76403,                0.68355,                0.88983,                0.93071,             0.00013625,             0.00013625,             0.00013625
                     47,                0.51032,                 0.6437,                0.87974,                0.91083,                0.93171,                0.93452,                0.77269,                0.67949,                0.83632,                0.92005,              0.0001115,              0.0001115,              0.0001115
                     48,                0.51639,                0.64412,                0.88913,                0.92856,                0.92444,                0.93529,                0.77447,                0.67361,                0.81621,                0.91575,              8.675e-05,              8.675e-05,              8.675e-05
                     49,                0.51368,                0.62646,                0.85738,                0.92306,                 0.9368,                0.94205,                0.78583,                0.66206,                0.79661,                0.91077,                6.2e-05,                6.2e-05,                6.2e-05
                     50,                0.50669,                0.63354,                  0.897,                 0.9296,                0.94185,                0.94254,                0.78599,                0.66139,                0.79501,                0.90988,              3.725e-05,              3.725e-05,              3.725e-05
